case_id,pass_name,section,family,persona,player,response,auto_flags,relevant_0_1,intelligible_0_1,villager_voice_0_1,persona_consistent_0_1,acceptable_0_1,notes
core_001,greedy,core,greeting,Rowan | shepherd | Minoc | cheerful and good-natured,Hello.,hello there,,,,,,,
core_025,greedy,core,compliment,Rowan | shepherd | Minoc | cheerful and good-natured,That's kind of you.,i thank thee / the road thither is long pray be cautious,,,,,,,
core_026,greedy,core,compliment,Greta | farmer | Yew | practical and friendly,Nice work.,thank thee kindly,,,,,,,
core_027,greedy,core,compliment,Bram | blacksmith | Britain | gruff but fair,You're helpful.,i thank thee / tis said / tis honest work and i ask no more,,,,,,,
core_028,greedy,core,compliment,Elsbeth | baker | Cove | warm and talkative,Good to see you.,good to see thee as well,,,,,,,
core_029,greedy,core,compliment,Duncan | merchant | Jhelom | proud of your work,I like your work.,glad to see thee,,,,,,,
core_030,greedy,core,compliment,Nora | weaver | Skara Brae | quiet and content,You're a decent sort.,i am a alchemist,profession_drift:alchemist,,,,,,
core_031,greedy,core,compliment,Walter | farmer | Britain | talkative,You seem friendly.,i have no regrets,,,,,,,
core_032,greedy,core,compliment,Thalia | sailor | Serpent's Hold | tough and plain-spoken,That was well done.,i thank thee,,,,,,,
core_033,greedy,core,apology,Mildred | weaver | Skara Brae | cheerful,Sorry about that.,no need to apologize,,,,,,,
core_034,greedy,core,apology,Pip | miner | Minoc | cheerful and friendly,My apologies.,apology accepted,,,,,,,
core_035,greedy,core,apology,Silas | cobbler | Vesper | patient,I did not mean to offend.,i am no smith / thou didst say it plain,,,,,,,
core_036,greedy,core,apology,Isadora | brewer | Trinsic | gentle,Forgive me.,i forgive thee / tis forgotten,,,,,,,
core_037,greedy,core,apology,Aldric | fisherman | Cove | calm and observant,"Sorry, I was rude.",no harm done,,,,,,,
core_038,greedy,core,apology,Clara | alchemist | Moonglow | curious but humble,I spoke too harshly.,we all make mistakes / we all make mistakes,,,,,,,
core_039,greedy,core,apology,Finn | guard | Yew | stern and dutiful,Pardon me.,pardon / i know not,,,,,,,
core_040,greedy,core,apology,Hilda | beekeeper | Vesper | practical,I should not have said that.,think nothing more of it,,,,,,,
core_041,greedy,core,introduction,Ulric | carpenter | Yew | particular about your tools,I'm new around here.,you have a good eye for making friends,,,,,,,
core_042,greedy,core,introduction,Marta | provisioner | Britain | cheerful and brisk,We haven't met before.,we have been here many years / we have been living together,,,,,,,
core_043,greedy,core,introduction,Cedric | leathermaker | Vesper | reserved and skilled,I don't think I know you.,i have not been to thee,,,,,,,
core_044,greedy,core,introduction,Tobias | mason | Skara Brae | quiet and steady,Thought I'd introduce myself.,thou art welcome / the town is kind and friendly,,,,,,,
core_045,greedy,core,introduction,Quilla | banker | Minoc | boastful and loud,I'm just passing through.,aye keep my hands occupied,,,,,,,
core_046,greedy,core,introduction,Gareth | hunter | Minoc | blunt and patient,First time in this town.,then welcome / i hope the town bonds well,,,,,,,
core_047,greedy,core,introduction,Rachel | healer | Britain | patient and compassionate,I haven't seen you before.,aye i have seen nothing worth looking at,,,,,,,
core_048,greedy,core,introduction,Sybil | cooper | Jhelom | friendly and curious,Mind if I say hello?,hello / what can i do for thee,,,,,,,
core_049,greedy,core,wellbeing,Rowan | shepherd | Minoc | cheerful and good-natured,How are you today?,aye i cannot complain,,,,,,,
core_050,greedy,core,wellbeing,Greta | farmer | Yew | practical and friendly,How are things?,i am well i thank thee,,,,,,,
core_051,greedy,core,wellbeing,Bram | blacksmith | Britain | gruff but fair,You doing all right?,i am well thank thee,,,,,,,
core_052,greedy,core,wellbeing,Elsbeth | baker | Cove | warm and talkative,How goes it?,the baker a good man is the best / he carries bread and cakes,,,,,,,
core_053,greedy,core,wellbeing,Duncan | merchant | Jhelom | proud of your work,All well?,glad my work pleases thee,,,,,,,
core_054,greedy,core,wellbeing,Nora | weaver | Skara Brae | quiet and content,How have you been?,i have been well / that is good of thee to say,,,,,,,
core_055,greedy,core,wellbeing,Walter | farmer | Britain | talkative,Feeling well today?,aye well enough today,,,,,,,
core_056,greedy,core,wellbeing,Thalia | sailor | Serpent's Hold | tough and plain-spoken,Everything all right with you?,a good day to thee,,,,,,,
core_057,greedy,core,ordinary_smalltalk,Mildred | weaver | Skara Brae | cheerful,Busy day?,busy enough / the day is loud and the sun is bright,,,,,,,
core_058,greedy,core,ordinary_smalltalk,Pip | miner | Minoc | cheerful and friendly,Quiet today.,aye a deep and quiet day,,,,,,,
core_059,greedy,core,ordinary_smalltalk,Silas | cobbler | Vesper | patient,Long day?,it is time for a meal,,,,,,,
core_060,greedy,core,ordinary_smalltalk,Isadora | brewer | Trinsic | gentle,Not much going on.,i have seen the trade change many times,,,,,,,
core_061,greedy,core,ordinary_smalltalk,Aldric | fisherman | Cove | calm and observant,Seems peaceful here.,the weather has been fair of late / i pray it holdeth,,,,,,,
core_062,greedy,core,ordinary_smalltalk,Clara | alchemist | Moonglow | curious but humble,"Another day, eh?",until that day,,,,,,,
core_063,greedy,core,ordinary_smalltalk,Finn | guard | Yew | stern and dutiful,Taking it easy?,aye tis a fine day / i will not be in the way of it,,,,,,,
core_064,greedy,core,ordinary_smalltalk,Hilda | beekeeper | Vesper | practical,Been a slow morning?,a slow morning but the sun is warm,,,,,,,
core_065,greedy,core,weather,Ulric | carpenter | Yew | particular about your tools,Nice weather today.,aye fair weather today,,,,,,,
core_066,greedy,core,weather,Marta | provisioner | Britain | cheerful and brisk,Windy today.,aye the weather is kind,,,,,,,
core_067,greedy,core,weather,Cedric | leathermaker | Vesper | reserved and skilled,Looks like rain.,aye rain is welcome,,,,,,,
core_068,greedy,core,weather,Tobias | mason | Skara Brae | quiet and steady,Cold morning.,a warm fire would be welcome,,,,,,,
core_069,greedy,core,weather,Quilla | banker | Minoc | boastful and loud,Lovely day.,a good day to thee,,,,,,,
core_070,greedy,core,weather,Gareth | hunter | Minoc | blunt and patient,Bit warm today.,aye cold winds today,,,,,,,
core_071,greedy,core,weather,Rachel | healer | Britain | patient and compassionate,The clouds look dark.,the sky looks pale and the birds are quiet,,,,,,,
core_072,greedy,core,weather,Sybil | cooper | Jhelom | friendly and curious,Still raining.,aye the rain has been seen on the seventh eve / i pray it holde,hit_token_cap,,,,,,
core_073,greedy,core,seasonal,Rowan | shepherd | Minoc | cheerful and good-natured,Winter feels long this year.,the air is sharp today,,,,,,,
core_074,greedy,core,seasonal,Greta | farmer | Yew | practical and friendly,Spring is finally here.,spring will be full / the flowers will bloom,,,,,,,
core_075,greedy,core,seasonal,Bram | blacksmith | Britain | gruff but fair,Summer has been hot.,the sun is low and the air is warm,,,,,,,
core_076,greedy,core,seasonal,Elsbeth | baker | Cove | warm and talkative,Autumn came quickly.,the baker is calling for thee,,,,,,,
core_077,greedy,core,seasonal,Duncan | merchant | Jhelom | proud of your work,The nights are getting colder.,the night air is thick and the air is chilly,,,,,,,
core_078,greedy,core,seasonal,Nora | weaver | Skara Brae | quiet and content,Days are getting longer.,the weather has been fair of late,,,,,,,
core_079,greedy,core,seasonal,Walter | farmer | Britain | talkative,Harvest time already.,the day is full of fun / i cannot complain,,,,,,,
core_080,greedy,core,seasonal,Thalia | sailor | Serpent's Hold | tough and plain-spoken,Feels like a stormy season.,the weather has been fair of late / i pray it holdeth,,,,,,,
core_081,greedy,core,food,Mildred | weaver | Skara Brae | cheerful,Had anything good to eat?,something simple i expect,,,,,,,
core_082,greedy,core,food,Pip | miner | Minoc | cheerful and friendly,What's for supper?,likely bread and stew,,,,,,,
core_083,greedy,core,food,Silas | cobbler | Vesper | patient,I'm hungry.,the baker will know when to eat,,,,,,,
core_084,greedy,core,food,Isadora | brewer | Trinsic | gentle,Do you like stew?,stew is a fine meal / i do not mind,,,,,,,
core_085,greedy,core,food,Aldric | fisherman | Cove | calm and observant,Bread smells good today.,the bakers shop is full,,,,,,,
core_086,greedy,core,food,Clara | alchemist | Moonglow | curious but humble,Any decent food around here?,the inn should have something warm,,,,,,,
core_087,greedy,core,food,Finn | guard | Yew | stern and dutiful,What do folk eat here?,the inn should have something warm,,,,,,,
core_088,greedy,core,food,Hilda | beekeeper | Vesper | practical,I could use a meal.,the meal is in the oven,,,,,,,
core_089,greedy,core,drink_tavern,Ulric | carpenter | Yew | particular about your tools,Know a good place for a drink?,the well is warm and the air is fresh,,,,,,,
core_090,greedy,core,drink_tavern,Marta | provisioner | Britain | cheerful and brisk,Is the ale any good?,the bread is fresh and the wine is sweet,,,,,,,
core_091,greedy,core,drink_tavern,Cedric | leathermaker | Vesper | reserved and skilled,Busy at the tavern?,busy enough / there is always work for a man,,,,,,,
core_092,greedy,core,drink_tavern,Tobias | mason | Skara Brae | quiet and steady,I could use a mug of ale.,i shall make a mug of brass and wine / the mug is fresh and the wine is sweet,hit_token_cap,,,,,,
core_093,greedy,core,drink_tavern,Quilla | banker | Minoc | boastful and loud,Do you drink much?,aye a cup of hot water and a cup of wine,,,,,,,
core_094,greedy,core,drink_tavern,Gareth | hunter | Minoc | blunt and patient,The tavern lively tonight?,the tavern is a fine sound / the sound is the sound of the wind,,,,,,,
core_095,greedy,core,drink_tavern,Rachel | healer | Britain | patient and compassionate,Any good cider here?,the town is small and quiet / there is always something to do,,,,,,,
core_096,greedy,core,drink_tavern,Sybil | cooper | Jhelom | friendly and curious,Where do folk gather after work?,i know not where work a worker does,,,,,,,
core_097,greedy,core,home_family,Rowan | shepherd | Minoc | cheerful and good-natured,Do you have family here?,nay i have no family nearby,,,,,,,
core_098,greedy,core,home_family,Greta | farmer | Yew | practical and friendly,Is your home nearby?,i have its own home but i do not mind,,,,,,,
core_099,greedy,core,home_family,Bram | blacksmith | Britain | gruff but fair,Do you live in town?,aye i am in britain / the town is small enough for one virtu,hit_token_cap,,,,,,
core_100,greedy,core,home_family,Elsbeth | baker | Cove | warm and talkative,Got children at home?,i have children / we have a family,,,,,,,
core_101,greedy,core,home_family,Duncan | merchant | Jhelom | proud of your work,Do you like living here?,i do / there is also a good home for a merchant from moonglow,,,,,,,
core_102,greedy,core,home_family,Nora | weaver | Skara Brae | quiet and content,Is your family well?,i have no family nearby,,,,,,,
core_103,greedy,core,home_family,Walter | farmer | Britain | talkative,Been here long?,i could not say for i had been busy,,,,,,,
core_104,greedy,core,home_family,Thalia | sailor | Serpent's Hold | tough and plain-spoken,Home life treating you well?,the usual tasks of a sailor,,,,,,,
core_105,greedy,core,town_chatter,Mildred | weaver | Skara Brae | cheerful,Anything happening around town?,nothing unusual that i have heard,,,,,,,
core_106,greedy,core,town_chatter,Pip | miner | Minoc | cheerful and friendly,What's new around here?,not much beyond the usual,,,,,,,
core_107,greedy,core,town_chatter,Silas | cobbler | Vesper | patient,Any news today?,the weather has been fair of late,,,,,,,
core_108,greedy,core,town_chatter,Isadora | brewer | Trinsic | gentle,How is the village?,i have heard nothing worth speaking to,,,,,,,
core_109,greedy,core,town_chatter,Aldric | fisherman | Cove | calm and observant,Busy in town?,busy enough / there is always work for a fisherman,,,,,,,
core_110,greedy,core,town_chatter,Clara | alchemist | Moonglow | curious but humble,Anything interesting going on?,nothing worth making a fuss over,,,,,,,
core_111,greedy,core,town_chatter,Finn | guard | Yew | stern and dutiful,Is the market busy?,the market is full of people,,,,,,,
core_112,greedy,core,town_chatter,Hilda | beekeeper | Vesper | practical,Town quiet?,the town is quiet,,,,,,,
core_113,greedy,core,gossip,Ulric | carpenter | Yew | particular about your tools,Heard any gossip?,nothing worth making a fuss over,,,,,,,
core_114,greedy,core,gossip,Marta | provisioner | Britain | cheerful and brisk,Any rumors going around?,the usual routine is the usual,,,,,,,
core_115,greedy,core,gossip,Cedric | leathermaker | Vesper | reserved and skilled,What are folk talking about?,nothing that supper and rest are never finished,,,,,,,
core_116,greedy,core,gossip,Tobias | mason | Skara Brae | quiet and steady,Heard anything strange lately?,nothing worth making a fuss over,,,,,,,
core_117,greedy,core,gossip,Quilla | banker | Minoc | boastful and loud,Any juicy stories?,a story of a fine man who had been a farmer for a long time / he told the story of the v,hit_token_cap,,,,,,
core_118,greedy,core,gossip,Gareth | hunter | Minoc | blunt and patient,What's everyone whispering about?,the old warriors of britain whisper of the old wars / they,hit_token_cap,,,,,,
core_119,greedy,core,gossip,Rachel | healer | Britain | patient and compassionate,Anyone causing a stir?,the townsfolk in the town are unfair / they should be treated with respect,hit_token_cap,,,,,,
core_120,greedy,core,gossip,Sybil | cooper | Jhelom | friendly and curious,What have you heard?,the usual songs but i cannot hear them,,,,,,,
core_121,greedy,core,work_general,Rowan | shepherd | Minoc | cheerful and good-natured,What do you do for work?,i do my work / i am a worker,,,,,,,
core_122,greedy,core,work_general,Greta | farmer | Yew | practical and friendly,Do you like your work?,i do my best,,,,,,,
core_123,greedy,core,work_general,Bram | blacksmith | Britain | gruff but fair,Busy with work today?,aye a little work but work is never wasted,,,,,,,
core_124,greedy,core,work_general,Elsbeth | baker | Cove | warm and talkative,How is business?,the usual work of a business friend,,,,,,,
core_125,greedy,core,work_general,Duncan | merchant | Jhelom | proud of your work,Hard day's work?,enough to keep the mind occupied,,,,,,,
core_126,greedy,core,work_general,Nora | weaver | Skara Brae | quiet and content,Been working long?,long enough to know the work,,,,,,,
core_127,greedy,core,work_general,Walter | farmer | Britain | talkative,What's your trade like?,i work with my hands as a farmer,,,,,,,
core_128,greedy,core,work_general,Thalia | sailor | Serpent's Hold | tough and plain-spoken,Work going well?,enough to keep me busy,,,,,,,
core_129,greedy,core,opinion,Mildred | weaver | Skara Brae | cheerful,What do you think of this town?,i think so / the town is small enough for one,,,,,,,
core_130,greedy,core,opinion,Pip | miner | Minoc | cheerful and friendly,Do you think folk are decent here?,some say the townsfolk need a guide,,,,,,,
core_131,greedy,core,opinion,Silas | cobbler | Vesper | patient,Is life better in a village?,a village is a place of honesty / i have seen enough gold to buy a new one,,,,,,,
core_132,greedy,core,opinion,Isadora | brewer | Trinsic | gentle,What do you make of travelers?,i make pots and pans,,,,,,,
core_133,greedy,core,opinion,Aldric | fisherman | Cove | calm and observant,Do you trust strangers?,i trust to keep a candle on the table,,,,,,,
core_134,greedy,core,opinion,Clara | alchemist | Moonglow | curious but humble,Is honest work important?,honesty is honest / i make do for honest work,,,,,,,
core_135,greedy,core,opinion,Finn | guard | Yew | stern and dutiful,Do you like market days?,i have a fair price at last / the market is fair,,,,,,,
core_136,greedy,core,opinion,Hilda | beekeeper | Vesper | practical,What do you think of rainy days?,the rains are sweet and the air is pleasant,,,,,,,
core_137,greedy,core,likes_dislikes,Ulric | carpenter | Yew | particular about your tools,What do you enjoy?,the usual tasks,,,,,,,
core_138,greedy,core,likes_dislikes,Marta | provisioner | Britain | cheerful and brisk,Anything you dislike?,i am not discoura,,,,,,,
core_139,greedy,core,likes_dislikes,Cedric | leathermaker | Vesper | reserved and skilled,Do you like music?,i have a good rhythm / the music is in the air,,,,,,,
core_140,greedy,core,likes_dislikes,Tobias | mason | Skara Brae | quiet and steady,Fond of crowds?,the winds of the mountains within thee / the air is cold and the air is fresh,hit_token_cap,,,,,,
core_141,greedy,core,likes_dislikes,Quilla | banker | Minoc | boastful and loud,Do you enjoy quiet evenings?,i enjoy the quiet and the quiet / the quiet is my partner,,,,,,,
core_142,greedy,core,likes_dislikes,Gareth | hunter | Minoc | blunt and patient,Like a good meal?,a good meal would do thee good,,,,,,,
core_143,greedy,core,likes_dislikes,Rachel | healer | Britain | patient and compassionate,Do you enjoy your neighbors?,i have family not far from here,,,,,,,
core_144,greedy,core,likes_dislikes,Sybil | cooper | Jhelom | friendly and curious,What makes you happy?,singing and dancing / i dance to the rhythm of the music,,,,,,,
core_145,greedy,core,mood_emotion,Rowan | shepherd | Minoc | cheerful and good-natured,You seem cheerful today.,aye good to see thee as well,,,,,,,
core_146,greedy,core,mood_emotion,Greta | farmer | Yew | practical and friendly,You look worried.,i have been worried too much,,,,,,,
core_147,greedy,core,mood_emotion,Bram | blacksmith | Britain | gruff but fair,Something bothering you?,i know no rider / the blacksmith is not here,,,,,,,
core_148,greedy,core,mood_emotion,Elsbeth | baker | Cove | warm and talkative,You seem tired.,i have been working but i am not tired,,,,,,,
core_149,greedy,core,mood_emotion,Duncan | merchant | Jhelom | proud of your work,You look pleased.,i am proud of myself,,,,,,,
core_150,greedy,core,mood_emotion,Nora | weaver | Skara Brae | quiet and content,Bad mood today?,not much of a bad day / a bad day is it,,,,,,,
core_151,greedy,core,mood_emotion,Walter | farmer | Britain | talkative,You seem calm.,i am not so nervous / i have heard worse,,,,,,,
core_152,greedy,core,mood_emotion,Thalia | sailor | Serpent's Hold | tough and plain-spoken,Everything on your mind all right?,i have no plans for thee,,,,,,,
core_153,greedy,core,tired_hungry,Mildred | weaver | Skara Brae | cheerful,I'm tired.,a good rest,,,,,,,
core_154,greedy,core,tired_hungry,Pip | miner | Minoc | cheerful and friendly,I'm starving.,then do not wait find food,,,,,,,
core_155,greedy,core,tired_hungry,Silas | cobbler | Vesper | patient,Could use some rest.,a warm fire would be welcome,,,,,,,
core_156,greedy,core,tired_hungry,Isadora | brewer | Trinsic | gentle,Been walking all day.,the roads are safe enough,,,,,,,
core_157,greedy,core,tired_hungry,Aldric | fisherman | Cove | calm and observant,I'm thirsty.,a drink would do thee good,,,,,,,
core_158,greedy,core,tired_hungry,Clara | alchemist | Moonglow | curious but humble,My feet hurt.,rest a while and find a healer on the way,,,,,,,
core_159,greedy,core,tired_hungry,Finn | guard | Yew | stern and dutiful,I barely slept.,rest a while and tend to my wounded body / a good sleep is a virtu,hit_token_cap,,,,,,
core_160,greedy,core,tired_hungry,Hilda | beekeeper | Vesper | practical,I need to sit down.,then no more / let us leave it behind,,,,,,,
core_161,greedy,core,yes_no,Ulric | carpenter | Yew | particular about your tools,Do you like it here?,it is a place of peace and quiet / i pray it stays clear of harm,,,,,,,
core_162,greedy,core,yes_no,Marta | provisioner | Britain | cheerful and brisk,Are you busy?,aye i am in good renewal / the work is done,,,,,,,
core_163,greedy,core,yes_no,Cedric | leathermaker | Vesper | reserved and skilled,Is today a good day?,a good day to thee,,,,,,,
core_164,greedy,core,yes_no,Tobias | mason | Skara Brae | quiet and steady,Do you work nearby?,i work with my hands as a mason / tis honest work and i ask no more,,,,,,,
core_165,greedy,core,yes_no,Quilla | banker | Minoc | boastful and loud,Are you from around here?,aye i am in charge of thee / i have seen thee for myself,,,,,,,
core_166,greedy,core,yes_no,Gareth | hunter | Minoc | blunt and patient,Do you know many folk here?,some of my folk are the best / some say i am the best,,,,,,,
core_167,greedy,core,yes_no,Rachel | healer | Britain | patient and compassionate,Is the town usually quiet?,the quiet is clear enough for one day,,,,,,,
core_168,greedy,core,yes_no,Sybil | cooper | Jhelom | friendly and curious,Do you enjoy your trade?,i do / there is always something to do,,,,,,,
core_169,greedy,core,clarification,Rowan | shepherd | Minoc | cheerful and good-natured,Bring me that.,i have a single shoe i can bring / it will keep thee safe,clarification_miss,,,,,,
core_170,greedy,core,clarification,Greta | farmer | Yew | practical and friendly,Go over there.,that is the only road to thee,clarification_miss,,,,,,
core_171,greedy,core,clarification,Bram | blacksmith | Britain | gruff but fair,Talk to him.,i have no answer for that,clarification_miss,,,,,,
core_172,greedy,core,clarification,Elsbeth | baker | Cove | warm and talkative,Take this.,what dost thou mean,,,,,,,
core_173,greedy,core,clarification,Duncan | merchant | Jhelom | proud of your work,Put it there.,put what where / thou givest me neither the item,,,,,,,
core_174,greedy,core,clarification,Nora | weaver | Skara Brae | quiet and content,Meet me later.,i shall assess thee but i shall not / thee need,clarification_miss;hit_token_cap,,,,,,
core_175,greedy,core,clarification,Walter | farmer | Britain | talkative,Do the thing.,i know not what that is,,,,,,,
core_176,greedy,core,clarification,Thalia | sailor | Serpent's Hold | tough and plain-spoken,Tell me about it.,i have no knowledge of secret work,clarification_miss,,,,,,
core_177,greedy,core,confusion,Mildred | weaver | Skara Brae | cheerful,I don't understand.,i am not sure what thou mean,,,,,,,
core_178,greedy,core,confusion,Pip | miner | Minoc | cheerful and friendly,What do you mean?,the miner is a miner / he carries mines and the stone,,,,,,,
core_179,greedy,core,confusion,Silas | cobbler | Vesper | patient,Come again?,i have heard nothing worth speaking to,,,,,,,
core_180,greedy,core,confusion,Isadora | brewer | Trinsic | gentle,That makes no sense.,i know not / i am not,,,,,,,
core_181,greedy,core,confusion,Aldric | fisherman | Cove | calm and observant,Say that again.,aye / i can say it again,,,,,,,
core_182,greedy,core,confusion,Clara | alchemist | Moonglow | curious but humble,I don't follow.,follow thee where / thou must know where i am,,,,,,,
core_183,greedy,core,confusion,Finn | guard | Yew | stern and dutiful,Can you explain?,i am a guard / the ruins are for the guard,,,,,,,
core_184,greedy,core,confusion,Hilda | beekeeper | Vesper | practical,"Wait, what?",the road to wellsouth is safe,,,,,,,
core_185,greedy,core,unknown,Ulric | carpenter | Yew | particular about your tools,Who invented the moon?,i know not who carved it / no one had seen a moonstone before,,,,,,,
core_186,greedy,core,unknown,Marta | provisioner | Britain | cheerful and brisk,What lies beyond the stars?,i know not the world but i see it through my craft,,,,,,,
core_187,greedy,core,unknown,Cedric | leathermaker | Vesper | reserved and skilled,Who made the first sword?,i have never heard a sword split / it is the only trade i know,,,,,,,
core_188,greedy,core,unknown,Tobias | mason | Skara Brae | quiet and steady,What is at the bottom of the deepest sea?,i know not what consumeth to thee / i have never seen it so clear and,hit_token_cap,,,,,,
core_189,greedy,core,unknown,Quilla | banker | Minoc | boastful and loud,Who was the first king ever?,i have never met a king before / he is a king of the own way,unknown_without_ignorance,,,,,,
core_190,greedy,core,unknown,Gareth | hunter | Minoc | blunt and patient,What happens after death?,i know little of what comes after death,unknown_without_ignorance,,,,,,
core_191,greedy,core,unknown,Rachel | healer | Britain | patient and compassionate,Where did magic come from?,i know not its place / it is a secret,,,,,,,
core_192,greedy,core,unknown,Sybil | cooper | Jhelom | friendly and curious,Who named every mountain?,i am sybil,unknown_without_ignorance,,,,,,
core_193,greedy,core,correction,Rowan | shepherd | Minoc | cheerful and good-natured,"No, I said bread, not thread.",bread is not for thee / it is for thee,,,,,,,
core_194,greedy,core,correction,Greta | farmer | Yew | practical and friendly,"I meant the market, not the docks.",the market is safe enough if thou keepest to work,,,,,,,
core_195,greedy,core,correction,Bram | blacksmith | Britain | gruff but fair,"No, that's not what I asked.",i said thee is not mine / i am not,,,,,,,
core_196,greedy,core,correction,Elsbeth | baker | Cove | warm and talkative,"I said tomorrow, not today.",i can say it again the next day,,,,,,,
core_197,greedy,core,correction,Duncan | merchant | Jhelom | proud of your work,I meant your work.,i am grateful for the work,,,,,,,
core_198,greedy,core,correction,Nora | weaver | Skara Brae | quiet and content,"No, I was talking about the weather.",the weather is fair / the weather is fair,,,,,,,
core_199,greedy,core,correction,Walter | farmer | Britain | talkative,"I said goodbye, not hello.",i can t say that / i have been here for a while,,,,,,,
core_200,greedy,core,correction,Thalia | sailor | Serpent's Hold | tough and plain-spoken,That's not my meaning.,thou art welcome / the road thither is long pray be cautious,,,,,,,
core_201,greedy,core,contradiction,Mildred | weaver | Skara Brae | cheerful,That isn't what you said before.,no what,,,,,,,
core_202,greedy,core,contradiction,Pip | miner | Minoc | cheerful and friendly,You just said the opposite.,i heard thee many more than i have heard,,,,,,,
core_203,greedy,core,contradiction,Silas | cobbler | Vesper | patient,I don't think that's right.,i know not / i was not,,,,,,,
core_204,greedy,core,contradiction,Isadora | brewer | Trinsic | gentle,That sounds wrong to me.,i have no regrets,,,,,,,
core_205,greedy,core,contradiction,Aldric | fisherman | Cove | calm and observant,You are contradicting yourself.,i have no knowledge of thee,,,,,,,
core_206,greedy,core,contradiction,Clara | alchemist | Moonglow | curious but humble,Didn't you say something else?,no what / thou hast not asked a question / i am not sure what thou would,hit_token_cap,,,,,,
core_207,greedy,core,contradiction,Finn | guard | Yew | stern and dutiful,I'm not sure I believe that.,i know not / i am not a guard,,,,,,,
core_208,greedy,core,contradiction,Hilda | beekeeper | Vesper | practical,That does not add up.,then i may have spoken poorly,,,,,,,
core_209,greedy,core,request_simple,Ulric | carpenter | Yew | particular about your tools,Could you spare a moment?,i can try / i shall test thee,,,,,,,
core_210,greedy,core,request_simple,Marta | provisioner | Britain | cheerful and brisk,Can I ask you something?,i have a question for thee / i am a productive,,,,,,,
core_211,greedy,core,request_simple,Cedric | leathermaker | Vesper | reserved and skilled,Mind talking for a bit?,i will try to be more considerate,,,,,,,
core_212,greedy,core,request_simple,Tobias | mason | Skara Brae | quiet and steady,Could you tell me about your work?,i am a mason as i was when first we met / tis his craft and his calling,hit_token_cap,,,,,,
core_213,greedy,core,request_simple,Quilla | banker | Minoc | boastful and loud,Can you wait a moment?,not too long / i will be there,,,,,,,
core_214,greedy,core,request_simple,Gareth | hunter | Minoc | blunt and patient,Would you speak with me?,i speak in my language not with wares / tis honest labor,,,,,,,
